,User,Date,Content,Views,Likes,Retweets,comments,score,Location,Categories
87,KennyRef,05/02/2023,"@catturd2 Hey Biden and crew. Stop with the making up stories thing. Do you truly believe that Democrats would not have made mincemeat of Trump if it happened. Hell, they have the deep state in their pocket, it would have been a layup. No more LIES.",8,0,0,0,8,None,[1]
88,GerardComeau3,05/02/2023,"@Reptile_Hybrid WW3 started on September 11, 2001 . The war on HUMANITY . The next plandemic is the vaccinated . God has covenant with man in the DNA .",37,2,0,0,41,None,[2]
89,Gavin_F_Brewis,05/02/2023,"@AlbannachXIV That's not the case in Scotland or Wales though, and in comparison to English population it is also not true. You're skewing figures to support a myth which is white genocide.",14,0,0,2,24,None,[5]
90,Tominator5430,05/02/2023,@Sara_Carreon1 Mixed feelings. Very happy that he’s dead. Very sad that he wasn’t held accountable. Plus every magat is going to start saying that the democrats or antifa or the deep state killed him.,4,0,0,0,4,None,[1]
91,RF60006319,05/02/2023,"@hollowsrfree @Jamesritchey1 @Shayan86 @HamlinIsland I know they are exempt because I have two friends that work there. Nice try. Also all the rest of the agencies are. Nice try.

Your Fact-checkers are controlled by the deep state propaganda. Silly",18,0,0,1,23,None,[1]
92,WkThomas3,05/02/2023,"@atensnut They are all deep state puppets
They all need to be brought to justice and hanged",1,0,0,0,1,None,[1]
93,thaqfo,05/02/2023,"@RobertKennedyJr It’s not a ‘leak’ if released deliberately by our own Deep State to swing an election, friends.",17,0,0,0,17,None,[3]
94,QueenCKo2,05/02/2023,@Trish_NI Same. I can't stomach them since their active participation in brainwashing the viewers re the plandemic and not showing the worldwide protests. I watch a bit of GBNEWS when they have the not so brainwashed hosts on.,8,0,0,0,8,None,[2]
95,Aero_Oinker,05/02/2023,"@SueRic2 @JoJoFromJerz That inconvenient truth about how we still haven’t made back all the jobs lost due to the plandemic. Darn it, there goes another false narrative… Strike 1,2 &amp; 3, you’re out. Batter. Next?",84,7,0,0,98,None,[2]
96,overseasbrain,05/02/2023,@falakjavaidkhan Dictatorship in a form of modern deep state in the disguise of democracy.  It's a raw form of deep state an ultra refine form is in US UK,13,0,0,0,13,None,[1]
97,Pragmatic_Mgr,05/02/2023,@TomFitton Anything verified this was deep state distraction to garner support for ww3.,277,6,0,0,289,None,[1]
98,AllBiteNoBark88,05/02/2023,The Fate of the Globalists &amp; Big Pharma is being decided at the beside of a Thai Princess in a Coma. She may become a major Historic figure if her vaccine injury publicly brings down this Genocide.,154343,4754,1243,143,168295,None,[2]
99,TomBourland,05/02/2023,@sjs856 The elites/deep state players are strongly requesting unvaxxed pilots for their private planes.  Do you think they know something we don’t?,7,0,0,0,7,US,[1]
100,MyTruthMyBody,05/02/2023,"@wendyhullfish Unless this fella is Israeli, then I don't think so. We know 9/11 was an inside job. The Twin towers had to be decontaminated from asbestos and would cost approx. 50 Billion which was added to insurance policy, then it was destroyed...Wonder why Now?",10,0,0,0,10,None,[4]
